 time            V_out           V_in            V_c2           
 6.62800000e-08  3.84353757e-02  3.38122941e-02  4.33416500e+00 
 6.72800000e-08  3.99802421e-02  3.45495421e-02  4.33571002e+00 
 6.82800000e-08  4.15500594e-02  3.52837753e-02  4.33728000e+00 
 6.92800000e-08  4.31441129e-02  3.60147810e-02  4.33887422e+00 
 7.02800000e-08  4.47616824e-02  3.67423599e-02  4.34049195e+00 
 7.12800000e-08  4.64020456e-02  3.74663407e-02  4.34213248e+00 
 7.22800000e-08  4.80644786e-02  3.81865649e-02  4.34379509e+00 
 7.32800000e-08  4.97482588e-02  3.89029014e-02  4.34547904e+00 
 7.42800000e-08  5.14526656e-02  3.96152304e-02  4.34718362e+00 
 7.52800000e-08  5.31769829e-02  4.03234583e-02  4.34890812e+00 
 7.62800000e-08  5.49204997e-02  4.10275024e-02  4.35065182e+00 
 7.72800000e-08  5.66825128e-02  4.17273041e-02  4.35241401e+00 
 7.82800000e-08  5.84623265e-02  4.24228146e-02  4.35419401e+00 
 7.92800000e-08  6.02592556e-02  4.31140081e-02  4.35599112e+00 
 8.02800000e-08  6.20726248e-02  4.38008670e-02  4.35780468e+00 
 8.12800000e-08  6.39017717e-02  4.44833951e-02  4.35963402e+00 
 8.22800000e-08  6.57460460e-02  4.51616032e-02  4.36147848e+00 
 8.32800000e-08  6.76048118e-02  4.58355218e-02  4.36333744e+00 
 8.42800000e-08  6.94774472e-02  4.65051870e-02  4.36521027e+00 
 8.52800000e-08  7.13633467e-02  4.71706529e-02  4.36709636e+00 
 8.62800000e-08  7.32619198e-02  4.78319780e-02  4.36899513e+00 
 8.72800000e-08  7.51725935e-02  4.84892369e-02  4.37090601e+00 
 8.82800000e-08  7.70948115e-02  4.91425075e-02  4.37282842e+00 
 8.92800000e-08  7.90280356e-02  4.97918821e-02  4.37476185e+00 
 9.02800000e-08  8.09717452e-02  5.04374548e-02  4.37670576e+00 
 9.12800000e-08  8.29254384e-02  5.10793328e-02  4.37865966e+00 
 9.22800000e-08  8.48886315e-02  5.17176235e-02  4.38062306e+00 
 9.32800000e-08  8.68608600e-02  5.23524462e-02  4.38259549e+00 
 9.42800000e-08  8.88416779e-02  5.29839189e-02  4.38457652e+00 
 9.52800000e-08  9.08306585e-02  5.36121704e-02  4.38656570e+00 
 9.62800000e-08  9.28273935e-02  5.42373270e-02  4.38856265e+00 
 9.72800000e-08  9.48314944e-02  5.48595240e-02  4.39056696e+00 
 9.82800000e-08  9.68425904e-02  5.54788936e-02  4.39257826e+00 
 9.92800000e-08  9.88603304e-02  5.60955757e-02  4.39459622e+00 
 1.00280000e-07  1.00884381e-01  5.67097061e-02  4.39662048e+00 
 1.01280000e-07  1.02914427e-01  5.73214269e-02  4.39865074e+00 
 1.02280000e-07  1.04950173e-01  5.79308753e-02  4.40068670e+00 
 1.03280000e-07  1.06991338e-01  5.85381941e-02  4.40272808e+00 
 1.04280000e-07  1.09037661e-01  5.91435200e-02  4.40477462e+00 
 1.05280000e-07  1.11088896e-01  5.97469944e-02  4.40682607e+00 
 1.06280000e-07  1.13144817e-01  6.03487521e-02  4.40888221e+00 
 1.07280000e-07  1.15205209e-01  6.09489315e-02  4.41094282e+00 
 1.08280000e-07  1.17269877e-01  6.15476639e-02  4.41300770e+00 
 1.09280000e-07  1.19338640e-01  6.21450834e-02  4.41507668e+00 
 1.10280000e-07  1.21411330e-01  6.27413166e-02  4.41714959e+00 
 1.11280000e-07  1.23487796e-01  6.33364920e-02  4.41922628e+00 
 1.12280000e-07  1.25567898e-01  6.39307304e-02  4.42130660e+00 
 1.13280000e-07  1.27651512e-01  6.45241539e-02  4.42339044e+00 
 1.14280000e-07  1.29738523e-01  6.51168763e-02  4.42547767e+00 
 1.15280000e-07  1.31828832e-01  6.57090124e-02  4.42756820e+00 
 1.16280000e-07  1.33922349e-01  6.63006685e-02  4.42966194e+00 
 1.17280000e-07  1.36018996e-01  6.68919514e-02  4.43175881e+00 
 1.18280000e-07  1.38118705e-01  6.74829593e-02  4.43385874e+00 
 1.19280000e-07  1.40221417e-01  6.80737904e-02  4.43596168e+00 
 1.20280000e-07  1.42327084e-01  6.86645343e-02  4.43806757e+00 
 1.21280000e-07  1.44435665e-01  6.92552805e-02  4.44017638e+00 
 1.22280000e-07  1.46547129e-01  6.98461095e-02  4.44228807e+00 
 1.23280000e-07  1.48661452e-01  7.04371019e-02  4.44440261e+00 
 1.24280000e-07  1.50778615e-01  7.10283291e-02  4.44652000e+00 
 1.25280000e-07  1.52898609e-01  7.16198623e-02  4.44864023e+00 
 1.26280000e-07  1.55021428e-01  7.22117642e-02  4.45076327e+00 
 1.27280000e-07  1.57147073e-01  7.28040967e-02  4.45288915e+00 
 1.28280000e-07  1.59275550e-01  7.33969134e-02  4.45501785e+00 
 1.29280000e-07  1.61406869e-01  7.39902672e-02  4.45714940e+00 
 1.30280000e-07  1.63541044e-01  7.45842029e-02  4.45928380e+00 
 1.31280000e-07  1.65678093e-01  7.51787647e-02  4.46142108e+00 
 1.32280000e-07  1.67818036e-01  7.57739887e-02  4.46356126e+00 
 1.33280000e-07  1.69960898e-01  7.63699106e-02  4.46570435e+00 
 1.34280000e-07  1.72106703e-01  7.69665584e-02  4.46785039e+00 
 1.35280000e-07  1.74255480e-01  7.75639597e-02  4.46999940e+00 
 1.36280000e-07  1.76407257e-01  7.81621345e-02  4.47215141e+00 
 1.37280000e-07  1.78562065e-01  7.87611028e-02  4.47430645e+00 
 1.38280000e-07  1.80719933e-01  7.93608774e-02  4.47646455e+00 
 1.39280000e-07  1.82880895e-01  7.99614710e-02  4.47862574e+00 
 1.40280000e-07  1.85044979e-01  8.05628895e-02  4.48079006e+00 
 1.41280000e-07  1.87212219e-01  8.11651392e-02  4.48295754e+00 
 1.42280000e-07  1.89382645e-01  8.17682196e-02  4.48512820e+00 
 1.43280000e-07  1.91556285e-01  8.23721309e-02  4.48730208e+00 
 1.44280000e-07  1.93733170e-01  8.29768668e-02  4.48947920e+00 
 1.45280000e-07  1.95913326e-01  8.35824221e-02  4.49165959e+00 
 1.46280000e-07  1.98096781e-01  8.41887854e-02  4.49384329e+00 
 1.47280000e-07  2.00283557e-01  8.47959466e-02  4.49603030e+00 
 1.48280000e-07  2.02473679e-01  8.54038899e-02  4.49822066e+00 
 1.49280000e-07  2.04667167e-01  8.60126008e-02  4.50041439e+00 
 1.50280000e-07  2.06864040e-01  8.66220596e-02  4.50261150e+00 
 1.51280000e-07  2.09064314e-01  8.72322480e-02  4.50481202e+00 
 1.52280000e-07  2.11268003e-01  8.78431430e-02  4.50701595e+00 
